CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 julia1_lineprofiler2.py
MEM 0.277344 1773050117.7936
MEM 14.046875 1773050117.8978
MEM 20.914062 1773050118.0015
MEM 27.523438 1773050118.1040
MEM 33.003906 1773050118.2080
MEM 38.230469 1773050118.3114
MEM 44.933594 1773050118.4142
MEM 52.125000 1773050118.5169
MEM 53.261719 1773050118.6198
MEM 53.261719 1773050118.7224
MEM 53.261719 1773050118.8272
MEM 53.261719 1773050118.9293
MEM 53.261719 1773050119.0329
MEM 60.894531 1773050119.1358
MEM 60.894531 1773050119.2367
MEM 60.906250 1773050119.3383
MEM 60.906250 1773050119.4427
MEM 60.921875 1773050119.5465
MEM 60.953125 1773050119.6508
MEM 60.988281 1773050119.7530
MEM 61.027344 1773050119.8580
MEM 61.070312 1773050119.9601
MEM 61.109375 1773050120.0643
MEM 61.152344 1773050120.1656
MEM 61.183594 1773050120.2691
MEM 61.203125 1773050120.3737
MEM 61.222656 1773050120.4771
MEM 61.246094 1773050120.5814
MEM 61.281250 1773050120.6859
MEM 61.308594 1773050120.7907
MEM 61.339844 1773050120.8951
MEM 61.367188 1773050120.9970
MEM 61.398438 1773050121.0979
MEM 61.425781 1773050121.2028
MEM 61.453125 1773050121.3077
MEM 61.480469 1773050121.4127
MEM 61.511719 1773050121.5160
MEM 61.539062 1773050121.6205
MEM 61.566406 1773050121.7251
MEM 61.601562 1773050121.8301
MEM 61.632812 1773050121.9333
MEM 61.664062 1773050122.0372
MEM 61.691406 1773050122.1377
MEM 61.718750 1773050122.2420
MEM 61.750000 1773050122.3437
MEM 61.777344 1773050122.4481
MEM 61.804688 1773050122.5532
MEM 61.824219 1773050122.6572
MEM 61.855469 1773050122.7604
MEM 61.886719 1773050122.8613
MEM 61.917969 1773050122.9624
MEM 61.945312 1773050123.0673
MEM 61.972656 1773050123.1680
MEM 62.003906 1773050123.2704
MEM 62.027344 1773050123.3753
MEM 62.050781 1773050123.4780
MEM 62.070312 1773050123.5788
MEM 62.093750 1773050123.6805
MEM 62.132812 1773050123.7842
MEM 62.167969 1773050123.8863
MEM 62.214844 1773050123.9905
MEM 62.257812 1773050124.0930
MEM 62.296875 1773050124.1977
MEM 62.339844 1773050124.3020
MEM 62.382812 1773050124.4064
MEM 62.429688 1773050124.5105
MEM 62.468750 1773050124.6143
MEM 62.511719 1773050124.7156
MEM 62.554688 1773050124.8194
MEM 62.597656 1773050124.9224
MEM 62.644531 1773050125.0268
MEM 62.687500 1773050125.1314
MEM 62.730469 1773050125.2350
MEM 62.777344 1773050125.3373
MEM 62.812500 1773050125.4384
MEM 62.859375 1773050125.5435
MEM 62.898438 1773050125.6459
MEM 62.941406 1773050125.7511
MEM 62.984375 1773050125.8526
MEM 63.027344 1773050125.9530
MEM 63.066406 1773050126.0559
MEM 63.109375 1773050126.1598
MEM 63.152344 1773050126.2649
MEM 63.195312 1773050126.3680
MEM 63.234375 1773050126.4721
MEM 63.281250 1773050126.5768
MEM 63.320312 1773050126.6804
MEM 63.363281 1773050126.7852
MEM 63.406250 1773050126.8893
MEM 63.449219 1773050126.9929
MEM 63.488281 1773050127.0964
MEM 63.523438 1773050127.1995
MEM 63.566406 1773050127.3027
MEM 63.605469 1773050127.4036
MEM 63.644531 1773050127.5054
MEM 63.683594 1773050127.6105
MEM 63.718750 1773050127.7142
MEM 63.757812 1773050127.8171
MEM 63.796875 1773050127.9193
MEM 63.839844 1773050128.0226
MEM 63.878906 1773050128.1265
MEM 63.914062 1773050128.2295
FUNC __main__.calculate_z_serial_purepython 53.2578 1773050118.5618 63.9766 1773050128.8276 1
FUNC __main__.calc_pure_python 53.1914 1773050118.5614 62.9844 1773050128.8408 0
FUNC .creat_output_list 53.2617 1773050119.0650 60.8945 1773050119.0697 2
FUNC .calculate_output 60.8984 1773050119.3230 63.9766 1773050128.5724 2
MEM 63.949219 1773050128.3324
MEM 63.976562 1773050128.4373
MEM 63.976562 1773050128.5391
MEM 63.976562 1773050128.6438
MEM 63.976562 1773050128.7458
MEM 63.000000 1773050128.8499
MEM 61.039062 1773050128.9533
