CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 julia1_lineprofiler2.py
MEM 0.292969 1773050373.9091
MEM 15.167969 1773050374.0138
MEM 23.046875 1773050374.1186
MEM 28.269531 1773050374.2229
MEM 34.308594 1773050374.3272
MEM 39.515625 1773050374.4309
MEM 45.539062 1773050374.5350
MEM 52.398438 1773050374.6353
MEM 53.187500 1773050374.7398
MEM 53.187500 1773050374.8436
MEM 53.191406 1773050374.9469
MEM 53.191406 1773050375.0504
MEM 53.191406 1773050375.1550
MEM 60.824219 1773050375.2581
MEM 60.824219 1773050375.3608
MEM 60.835938 1773050375.4644
MEM 60.835938 1773050375.5694
MEM 60.851562 1773050375.6746
MEM 60.882812 1773050375.7783
MEM 60.914062 1773050375.8814
MEM 60.949219 1773050375.9860
MEM 60.988281 1773050376.0906
MEM 61.027344 1773050376.1951
MEM 61.054688 1773050376.2984
MEM 61.070312 1773050376.4033
MEM 61.089844 1773050376.5059
MEM 61.121094 1773050376.6094
MEM 61.160156 1773050376.7139
MEM 61.199219 1773050376.8182
MEM 61.238281 1773050376.9208
MEM 61.277344 1773050377.0256
MEM 61.320312 1773050377.1293
MEM 61.359375 1773050377.2323
MEM 61.398438 1773050377.3364
MEM 61.437500 1773050377.4410
MEM 61.480469 1773050377.5446
MEM 61.519531 1773050377.6469
MEM 61.554688 1773050377.7477
MEM 61.593750 1773050377.8519
MEM 61.632812 1773050377.9561
MEM 61.675781 1773050378.0608
MEM 61.710938 1773050378.1615
MEM 61.750000 1773050378.2641
MEM 61.789062 1773050378.3677
MEM 61.828125 1773050378.4711
MEM 61.871094 1773050378.5750
MEM 61.910156 1773050378.6802
MEM 61.945312 1773050378.7839
MEM 61.988281 1773050378.8864
MEM 62.027344 1773050378.9912
MEM 62.070312 1773050379.0925
FUNC __main__.calculate_z_serial_purepython 53.1914 1773050374.9267 63.9062 1773050384.3738 1
FUNC __main__.calc_pure_python 53.1211 1773050374.6717 62.9297 1773050384.3851 0
FUNC .creat_output_list 53.1914 1773050375.1804 60.8242 1773050375.1855 2
FUNC .calculate_output 60.8242 1773050375.4402 63.9062 1773050384.1212 2
MEM 62.109375 1773050379.1970
MEM 62.156250 1773050379.3001
MEM 62.195312 1773050379.4027
MEM 62.242188 1773050379.5072
MEM 62.285156 1773050379.6099
MEM 62.324219 1773050379.7146
MEM 62.359375 1773050379.8172
MEM 62.402344 1773050379.9222
MEM 62.437500 1773050380.0228
MEM 62.480469 1773050380.1277
MEM 62.519531 1773050380.2296
MEM 62.554688 1773050380.3320
MEM 62.597656 1773050380.4367
MEM 62.640625 1773050380.5408
MEM 62.679688 1773050380.6460
MEM 62.718750 1773050380.7511
MEM 62.753906 1773050380.8534
MEM 62.789062 1773050380.9548
MEM 62.832031 1773050381.0590
MEM 62.871094 1773050381.1612
MEM 62.914062 1773050381.2638
MEM 62.941406 1773050381.3688
MEM 62.984375 1773050381.4718
MEM 63.027344 1773050381.5753
MEM 63.066406 1773050381.6797
MEM 63.109375 1773050381.7811
MEM 63.144531 1773050381.8846
MEM 63.187500 1773050381.9890
MEM 63.230469 1773050382.0938
MEM 63.269531 1773050382.1989
MEM 63.308594 1773050382.3020
MEM 63.343750 1773050382.4027
MEM 63.386719 1773050382.5039
MEM 63.425781 1773050382.6080
MEM 63.464844 1773050382.7123
MEM 63.500000 1773050382.8135
MEM 63.539062 1773050382.9163
MEM 63.574219 1773050383.0184
MEM 63.613281 1773050383.1234
MEM 63.652344 1773050383.2286
MEM 63.691406 1773050383.3331
MEM 63.730469 1773050383.4350
MEM 63.769531 1773050383.5402
MEM 63.808594 1773050383.6447
MEM 63.843750 1773050383.7470
MEM 63.878906 1773050383.8494
MEM 63.902344 1773050383.9502
MEM 63.906250 1773050384.0537
MEM 63.906250 1773050384.1551
MEM 63.906250 1773050384.2594
MEM 63.906250 1773050384.3629
MEM 61.996094 1773050384.4669
