CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 julia1_lineprofiler3.py
MEM 0.261719 1772965864.9729
MEM 12.664062 1772965865.0772
MEM 19.902344 1772965865.1798
MEM 25.492188 1772965865.2845
MEM 30.511719 1772965865.3877
MEM 35.085938 1772965865.4883
MEM 40.058594 1772965865.5891
MEM 44.828125 1772965865.6940
MEM 51.925781 1772965865.7973
MEM 63.714844 1772965865.9008
MEM 96.601562 1772965866.0057
MEM 118.355469 1772965866.1076
MEM 138.261719 1772965866.2083
MEM 146.902344 1772965866.3120
MEM 149.335938 1772965866.4163
MEM 149.890625 1772965866.5212
MEM 150.238281 1772965866.6255
MEM 150.445312 1772965866.7281
MEM 150.566406 1772965866.8317
MEM 150.714844 1772965866.9374
MEM 150.816406 1772965867.0384
MEM 150.957031 1772965867.1417
MEM 151.093750 1772965867.2442
MEM 151.210938 1772965867.3474
MEM 151.359375 1772965867.4509
MEM 151.500000 1772965867.5541
MEM 151.640625 1772965867.6583
MEM 151.781250 1772965867.7618
MEM 151.917969 1772965867.8663
MEM 152.058594 1772965867.9713
MEM 152.179688 1772965868.0751
MEM 152.292969 1772965868.1784
MEM 152.414062 1772965868.2828
MEM 152.523438 1772965868.3879
MEM 152.621094 1772965868.4922
MEM 152.714844 1772965868.5928
MEM 152.820312 1772965868.6963
MEM 152.925781 1772965868.8011
MEM 153.019531 1772965868.9044
MEM 153.125000 1772965869.0095
MEM 153.207031 1772965869.1135
MEM 153.304688 1772965869.2174
MEM 153.398438 1772965869.3212
MEM 153.496094 1772965869.4236
MEM 153.593750 1772965869.5279
MEM 153.691406 1772965869.6307
MEM 153.789062 1772965869.7349
MEM 153.894531 1772965869.8400
MEM 153.984375 1772965869.9414
MEM 154.101562 1772965870.0447
MEM 154.195312 1772965870.1488
FUNC __main__.calculate_z_serial_purepython 137.6406 1772965866.2545 162.6680 1772965874.2967 1
FUNC __main__.calc_pure_python 53.0977 1772965865.8587 84.4258 1772965874.3508 0
MEM 154.304688 1772965870.2516
MEM 154.402344 1772965870.3539
MEM 154.507812 1772965870.4580
MEM 154.613281 1772965870.5615
MEM 154.718750 1772965870.6625
MEM 154.828125 1772965870.7669
MEM 154.945312 1772965870.8694
MEM 155.054688 1772965870.9718
MEM 155.152344 1772965871.0722
MEM 155.238281 1772965871.1759
MEM 155.324219 1772965871.2787
MEM 155.414062 1772965871.3799
MEM 155.507812 1772965871.4829
MEM 155.601562 1772965871.5874
MEM 155.710938 1772965871.6921
MEM 155.816406 1772965871.7952
MEM 155.921875 1772965871.8991
MEM 156.027344 1772965872.0023
MEM 156.136719 1772965872.1056
MEM 156.234375 1772965872.2102
MEM 156.328125 1772965872.3115
MEM 156.433594 1772965872.4139
MEM 156.539062 1772965872.5174
MEM 156.648438 1772965872.6219
MEM 156.773438 1772965872.7260
MEM 156.902344 1772965872.8263
MEM 157.035156 1772965872.9288
MEM 157.179688 1772965873.0335
MEM 157.316406 1772965873.1370
MEM 157.453125 1772965873.2407
MEM 157.605469 1772965873.3420
MEM 157.757812 1772965873.4434
MEM 157.925781 1772965873.5458
MEM 158.085938 1772965873.6497
MEM 158.250000 1772965873.7535
MEM 158.445312 1772965873.8586
MEM 158.671875 1772965873.9629
MEM 159.046875 1772965874.0673
MEM 159.632812 1772965874.1720
MEM 162.566406 1772965874.2735
MEM 83.472656 1772965874.3780
MEM 62.425781 1772965874.4789
