CMDLINE /Users/jos/work/py/geek/.venv/bin/python3 julia1_lineprofiler1.py
MEM 0.136719 1772983890.2050
MEM 14.070312 1772983890.3100
MEM 20.750000 1772983890.4129
MEM 26.570312 1772983890.5154
MEM 33.320312 1772983890.6187
MEM 38.539062 1772983890.7230
MEM 45.402344 1772983890.8275
MEM 52.367188 1772983890.9303
MEM 74.515625 1772983891.0345
MEM 99.648438 1772983891.1356
MEM 118.988281 1772983891.2364
MEM 136.714844 1772983891.3389
MEM 147.390625 1772983891.4394
MEM 149.617188 1772983891.5407
MEM 150.097656 1772983891.6411
MEM 150.394531 1772983891.7451
MEM 150.625000 1772983891.8484
MEM 150.820312 1772983891.9514
MEM 150.996094 1772983892.0562
MEM 151.195312 1772983892.1609
MEM 151.371094 1772983892.2641
MEM 151.507812 1772983892.3671
MEM 151.636719 1772983892.4679
MEM 151.785156 1772983892.5732
MEM 151.902344 1772983892.6752
MEM 152.042969 1772983892.7784
MEM 152.179688 1772983892.8817
MEM 152.312500 1772983892.9869
MEM 152.414062 1772983893.0904
MEM 152.519531 1772983893.1952
MEM 152.636719 1772983893.2964
MEM 152.734375 1772983893.4008
MEM 152.847656 1772983893.5056
MEM 152.957031 1772983893.6086
MEM 153.050781 1772983893.7137
MEM 153.167969 1772983893.8181
MEM 153.265625 1772983893.9204
MEM 153.375000 1772983894.0217
MEM 153.480469 1772983894.1266
MEM 153.570312 1772983894.2277
MEM 153.675781 1772983894.3314
MEM 153.761719 1772983894.4321
MEM 153.871094 1772983894.5367
MEM 153.972656 1772983894.6400
MEM 154.078125 1772983894.7430
MEM 154.183594 1772983894.8466
MEM 154.300781 1772983894.9514
MEM 154.414062 1772983895.0554
MEM 154.507812 1772983895.1580
MEM 154.617188 1772983895.2633
MEM 154.714844 1772983895.3674
FUNC __main__.calculate_z_serial_purepython 137.7383 1772983891.3903 162.7656 1772983899.2121 1
FUNC __main__.calc_pure_python 53.1445 1772983890.9526 85.5391 1772983899.2763 0
MEM 154.820312 1772983895.4726
MEM 154.937500 1772983895.5766
MEM 155.046875 1772983895.6794
MEM 155.152344 1772983895.7838
MEM 155.261719 1772983895.8889
MEM 155.363281 1772983895.9928
MEM 155.464844 1772983896.0957
MEM 155.558594 1772983896.1998
MEM 155.648438 1772983896.3036
MEM 155.753906 1772983896.4085
MEM 155.863281 1772983896.5130
MEM 155.929688 1772983896.6178
MEM 156.011719 1772983896.7212
MEM 156.125000 1772983896.8264
MEM 156.242188 1772983896.9303
MEM 156.343750 1772983897.0327
MEM 156.449219 1772983897.1366
MEM 156.535156 1772983897.2385
MEM 156.660156 1772983897.3409
MEM 156.761719 1772983897.4444
MEM 156.890625 1772983897.5454
MEM 156.964844 1772983897.6488
MEM 157.000000 1772983897.7513
MEM 157.062500 1772983897.8543
MEM 157.199219 1772983897.9562
MEM 157.343750 1772983898.0612
MEM 157.480469 1772983898.1652
MEM 157.613281 1772983898.2683
MEM 157.769531 1772983898.3696
MEM 157.906250 1772983898.4718
MEM 158.105469 1772983898.5751
MEM 158.304688 1772983898.6781
MEM 158.496094 1772983898.7821
MEM 158.742188 1772983898.8851
MEM 159.085938 1772983898.9879
MEM 159.738281 1772983899.0925
MEM 162.765625 1772983899.1976
MEM 84.585938 1772983899.3014
MEM 53.574219 1772983899.4058
